evaluation_index,search_wall_seconds,source_kind,source_name,architecture_sha256,parent_sha256,physical_proxy_um,H_eff8,H_eff16,H_eff32,parallel_shift_cycles,total_shift_toggles,peak_simultaneous_toggles,evaluation_status,evaluation_wall_seconds,pareto_acceptance,hypervolume_after,move_type,neighborhood_fraction
1,5.077999999994063,global_construction,physical,1963924d7ccb03a1a7c8e7c458decf0e342a76a667c89968623c5d368fd3c80c,,1209.61,65.83333333333334,37.33333333333333,16.666666666666668,10530.0,952885,108.0,EXECUTED_NEW,2.1076259999972535,True,0.9246798906599945,global_construction,1.0
2,12.062999999994645,global_construction,mostly_physical,c6daa53e1f37e25df972648a81a0fc860efa0b331f2e7942e515a8f6f226bfca,,1342.37,62.166666666666664,35.33333333333333,16.666666666666668,10530.0,800195,100.0,EXECUTED_NEW,2.107459100006963,True,0.9291826475310843,global_construction,1.0
3,18.5,global_construction,balanced_regret,e65ad49e8efd5a58fbbba91aaaebd22dc25822a549b91ca9be7fc1600828df8f,,2258.75,63.333333333333336,37.33333333333333,16.666666666666668,10530.0,710155,98.0,EXECUTED_NEW,2.184139899996808,False,0.9291826475310843,global_construction,1.0
4,23.547000000005937,global_construction,mostly_activity,b9061277e20aeb2cc4a9f5298ffdb6f114446062c12c330adbea6fe12218f7e2,,4465.19,60.33333333333333,34.83333333333333,16.666666666666668,10530.0,653183,95.0,EXECUTED_NEW,2.0378218999976525,True,0.9727413044739934,global_construction,1.0
5,30.077999999994063,global_construction,activity,f41823f894712b3416cc909aee4c560077eeb9c1f4974b98c9fbf0ec5e32b09b,,7106.51,61.666666666666664,36.33333333333333,16.666666666666668,10530.0,630677,97.0,EXECUTED_NEW,2.117123599993647,False,0.9727413044739934,global_construction,1.0
6,31.64100000000326,lns,region+physical_best,7807b6a77fcd4431fd045a650e9dac7806cf62dc91fa59f48115895874c7fe48,1963924d7ccb03a1a7c8e7c458decf0e342a76a667c89968623c5d368fd3c80c,1190.81,65.16666666666666,37.33333333333333,16.666666666666668,10530.0,948797,110.0,EXECUTED_NEW,1.4570810000004712,True,0.9748284974689082,lns_region_physical_best,0.05
7,33.09399999999732,lns,region+physical_best,0348f2cc6b9dde7d6525795e96eb629b8da746f46f6936d6555a373279e1dbd1,c6daa53e1f37e25df972648a81a0fc860efa0b331f2e7942e515a8f6f226bfca,1305.77,62.83333333333333,35.33333333333333,16.666666666666668,10530.0,813027,104.0,EXECUTED_NEW,1.3444010999955935,True,0.9758136101126892,lns_region_physical_best,0.05
8,34.45299999999406,lns,region+physical_best,0d92391ff41818ae151e7c9c3a814993356b9c7beef03cdc75c147568cb12d4e,e65ad49e8efd5a58fbbba91aaaebd22dc25822a549b91ca9be7fc1600828df8f,2224.37,63.333333333333336,37.33333333333333,16.666666666666668,10530.0,721551,102.0,EXECUTED_NEW,1.2787920999980997,False,0.9758136101126892,lns_region_physical_best,0.05
9,35.875,lns,region+physical_best,8a894018161e96f60aad3bdba56fc9022c7240c88fc6279ff0fdf4732fc4c593,b9061277e20aeb2cc4a9f5298ffdb6f114446062c12c330adbea6fe12218f7e2,4178.07,60.83333333333333,35.33333333333333,16.666666666666668,10530.0,675181,95.0,EXECUTED_NEW,1.320223700007773,True,0.9785736173558818,lns_region_physical_best,0.05
10,37.25,lns,region+physical_best,2970154eff18468bd5a24acf53c3b4a7080e93f03569bf5c8f4cc18588e64a2f,f41823f894712b3416cc909aee4c560077eeb9c1f4974b98c9fbf0ec5e32b09b,6676.49,59.166666666666664,36.33333333333333,16.666666666666668,10530.0,646007,101.0,EXECUTED_NEW,1.299188500008313,True,1.029044692829396,lns_region_physical_best,0.05
11,38.65600000000268,lns,hotspot+physical_best,75ea663523d98d753f28f01c7c64348c52391e96e1edb60f4449696445be620c,c6daa53e1f37e25df972648a81a0fc860efa0b331f2e7942e515a8f6f226bfca,1319.11,60.83333333333333,37.33333333333333,16.666666666666668,10530.0,814383,99.0,EXECUTED_NEW,1.2817014000029303,True,1.0642941149540812,lns_hotspot_physical_best,0.05
12,40.0,lns,hotspot+physical_best,b581dcb1230cfca3d00da5ef1682d1a1bbf8ac989eeb2364649893fbdbbc8e71,0d92391ff41818ae151e7c9c3a814993356b9c7beef03cdc75c147568cb12d4e,2120.35,63.5,36.0,16.666666666666668,10530.0,750379,104.0,EXECUTED_NEW,1.2561622000066563,False,1.0642941149540812,lns_hotspot_physical_best,0.05
13,41.32799999999406,lns,hotspot+physical_best,3b30373f3a2f9c962934d6cff0ec875188b6310aa7b644d905b805289504ccc5,b9061277e20aeb2cc4a9f5298ffdb6f114446062c12c330adbea6fe12218f7e2,4187.89,62.33333333333333,34.33333333333333,16.666666666666668,10530.0,675381,95.0,EXECUTED_NEW,1.2747778000048129,False,1.0642941149540812,lns_hotspot_physical_best,0.05
14,42.78100000000268,lns,hotspot+physical_best,3837514f7f61aa8611dbabc82faa0e07cafa81373056fe4e38fa32e26903dce6,2970154eff18468bd5a24acf53c3b4a7080e93f03569bf5c8f4cc18588e64a2f,6476.73,61.666666666666664,36.33333333333333,16.666666666666668,10530.0,670845,100.0,EXECUTED_NEW,1.356959700002335,False,1.0642941149540812,lns_hotspot_physical_best,0.05
15,44.23500000000058,lns,segment+physical_best,44b1a2ab5a1e9c7caec247107108fb3055f3c6ffceb2de291ff1d93111bd3d1b,7807b6a77fcd4431fd045a650e9dac7806cf62dc91fa59f48115895874c7fe48,1180.75,64.83333333333333,37.33333333333333,16.666666666666668,10530.0,950055,112.0,EXECUTED_NEW,1.3828252000093926,True,1.0653453824106498,lns_segment_physical_best,0.05
16,45.59399999999732,lns,segment+physical_best,6faced5e13294ddb6efec1044aae84e9633c098e601386273cd9dbffb4ca5b53,75ea663523d98d753f28f01c7c64348c52391e96e1edb60f4449696445be620c,1309.6899999999998,62.666666666666664,37.33333333333333,16.666666666666668,10530.0,833123,100.0,EXECUTED_NEW,1.2600820999941789,True,1.0653634927953188,lns_segment_physical_best,0.05
17,46.90600000000268,lns,segment+physical_best,1f1a3a458946abcf31aa53a2375266a8629ed0ac0079ec7c20ecf47cc1e2e685,0d92391ff41818ae151e7c9c3a814993356b9c7beef03cdc75c147568cb12d4e,2157.81,59.0,35.0,16.666666666666668,10530.0,732237,102.0,EXECUTED_NEW,1.2456145000032848,True,1.155380746445363,lns_segment_physical_best,0.05
18,48.21899999999732,lns,segment+physical_best,d252e4aa397e31663078fc1359677609581a6d0ac0ed763d6d2f44ed46e66c19,b9061277e20aeb2cc4a9f5298ffdb6f114446062c12c330adbea6fe12218f7e2,4288.45,61.166666666666664,35.0,16.666666666666668,10530.0,672769,95.0,EXECUTED_NEW,1.2335428000078537,False,1.155380746445363,lns_segment_physical_best,0.05
19,49.54700000000594,lns,segment+physical_best,39b3529b4a007fb7d01cf202c453198ff3419bffb784dac1ab250de048f798c9,2970154eff18468bd5a24acf53c3b4a7080e93f03569bf5c8f4cc18588e64a2f,6278.23,62.83333333333333,36.0,16.666666666666668,10530.0,665507,99.0,EXECUTED_NEW,1.2771296999999322,False,1.155380746445363,lns_segment_physical_best,0.05
20,50.937999999994645,lns,cross_chain+physical_best,6b60fa30da3af7b199acca16f71bf7370897cbd8513ed55df23bd0884721b26d,44b1a2ab5a1e9c7caec247107108fb3055f3c6ffceb2de291ff1d93111bd3d1b,1223.79,66.16666666666666,37.33333333333333,16.666666666666668,10530.0,946679,108.0,EXECUTED_NEW,1.2874171000003116,False,1.155380746445363,lns_cross_chain_physical_best,0.05
21,53.42200000000594,lns,cross_chain+physical_best,a78c6ce1a5a13b64713b1b86f3a984a1e11ed754a6e7c4373fb88b603eec28e7,75ea663523d98d753f28f01c7c64348c52391e96e1edb60f4449696445be620c,1306.55,62.666666666666664,36.33333333333333,16.666666666666668,10530.0,830749,102.0,EXECUTED_NEW,2.3712120999989565,True,1.1553867832402525,lns_cross_chain_physical_best,0.05
22,56.01600000000326,lns,cross_chain+physical_best,be569eb7d9d1e5e5647f500c7277528796847c9a9e70bee1d6b1f59862367c36,1f1a3a458946abcf31aa53a2375266a8629ed0ac0079ec7c20ecf47cc1e2e685,2089.11,60.833333333333336,35.0,16.666666666666668,10530.0,741459,104.0,EXECUTED_NEW,2.460231599994586,False,1.1553867832402525,lns_cross_chain_physical_best,0.05
23,58.76600000000326,lns,cross_chain+physical_best,1d7e99bb2c21a07f4fa888c5fa4a6f476497e1d58b9a3c41422fe25d12b553cf,b9061277e20aeb2cc4a9f5298ffdb6f114446062c12c330adbea6fe12218f7e2,4314.49,62.33333333333333,36.33333333333333,16.666666666666668,10530.0,677357,95.0,EXECUTED_NEW,2.613326300008339,False,1.1553867832402525,lns_cross_chain_physical_best,0.05
