path	category	proposed_action	reason
.gitignore	C_REQUIRED_DOCUMENTATION	TRACK_AND_COMMIT	Research status, method/report, patch notes, or cleanup provenance.
README.md	C_REQUIRED_DOCUMENTATION	TRACK_AND_COMMIT	Research status, method/report, patch notes, or cleanup provenance.
artifacts/derived/phase0b/conflict_analysis.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/lib/NangateOpenCellLibrary_typical_dft.lib	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/lib/annotation.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/pdnsim_feasibility.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/physical_seed_qualification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/A.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/A.rewire.tcl	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/A.rewire_endpoints.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/A.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/A.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B0.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B0.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B0.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B1.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B1.native_qualification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B1.openroad_native.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B1.rewire.tcl	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B1.rewire_endpoints.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B1.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/B1.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/J25.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/J50.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/J75.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/J75.rewire.tcl	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/J75.rewire_endpoints.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/J75.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/J75.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/P.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/P.rewire.tcl	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/P.rewire_endpoints.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/P.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/P.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/Rstar.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/Rstar.rewire.tcl	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/Rstar.rewire_endpoints.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/Rstar.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/Rstar.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/S.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/plan.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/plan.pre_edge_distribution.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s11/plan.pre_native.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/A.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/A.rewire.tcl	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/A.rewire_endpoints.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/A.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/A.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B0.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B0.rewire_verification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B0.scan_order.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B1.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B1.native_qualification.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B1.openroad_native.architecture.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B1.rewire.tcl	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
artifacts/derived/phase0b/s15850/s13/B1.rewire_endpoints.json	B_REQUIRED_SCIENTIFIC_EVIDENCE	TRACK_AND_COMMIT	Compact scientific evidence, frozen result, route proof, or source figure.
